10:55:13:806|0418-CustomStat: -CUSTOMSTATS_METADATA -Table {E2EDLY Stats} -ParentTable {components} -PrimaryKeyFields {Component,From,} -Fields {Component,STR,From,STR,To,STR,Delay,REAL,DelayMin,REAL,DelayMax,REAL,DelayMaxTime,STR,DelayAdjusted,REAL,DelayMaxAdjusted,REAL,DelayBaseline,REAL,Updates,INT,TotUpdates,REAL,RTTDelay,REAL,RTTDelayMin,REAL,RTTDelayMax,REAL,RTTDelayMaxTime,STR,RTTUpdates,INT,RTTTotUpdates,REAL,TimeStamp,STR,}
10:55:13:811|0175-CustomStat: -CUSTOMSTATS -Table {E2EDLY Stats} -Owner {R567} -Component {R567} -From {entitlement_server} -To {R567} -Delay {0.0} -TimeStamp {} -SupplyTimestamp {08:55:13:811}
10:55:13:811|0187-CustomStat: -CUSTOMSTATS_METADATA -Table {MQ Stats} -ParentTable {components} -PrimaryKeyFields {} -Fields {Component,STR,MQPubLocal,INT,MQSubLocal,INT,MQPut,INT,MQSup,INT,TimeStamp,STR,}
10:55:13:811|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {R567} -Component {R567} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:55:13:811}
10:55:13:812|0335-CustomStat: -CUSTOMSTATS_METADATA -Table {GC Stats} -ParentTable {components} -PrimaryKeyFields {} -Fields {Component,STR,YoungGenUse,INT,YoungGenMax,INT,OldGenUse,INT,OldGenMax,INT,PermGenUse,INT,PermGenMax,INT,MinCollCnt,INT,MajCollCnt,INT,MinCollDur,INT,MajCollDur,INT,MinCollStw,INT,MajCollStw,INT,HeapAllocKBps,INT,TimeStamp,STR,}
10:55:13:812|0358-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {R567} -Component {R567} -YoungGenUse {60806} -YoungGenMax {2762752} -OldGenUse {28443} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {4} -MajCollCnt {2} -MinCollDur {41} -MajCollDur {80} -MinCollStw {40} -MajCollStw {80} -HeapAllocKBps {6968} -TimeStamp {} -SupplyTimestamp {08:55:13:812}
10:55:13:839|0047-TickData: RTTDelay,DM_DOCKER,R567 {2=2,3=3,4=1}
10:57:13:408|0418-CustomStat: -CUSTOMSTATS_METADATA -Table {E2EDLY Stats} -ParentTable {components} -PrimaryKeyFields {Component,From,} -Fields {Component,STR,From,STR,To,STR,Delay,REAL,DelayMin,REAL,DelayMax,REAL,DelayMaxTime,STR,DelayAdjusted,REAL,DelayMaxAdjusted,REAL,DelayBaseline,REAL,Updates,INT,TotUpdates,REAL,RTTDelay,REAL,RTTDelayMin,REAL,RTTDelayMax,REAL,RTTDelayMaxTime,STR,RTTUpdates,INT,RTTTotUpdates,REAL,TimeStamp,STR,}
10:57:13:408|0175-CustomStat: -CUSTOMSTATS -Table {E2EDLY Stats} -Owner {R567} -Component {R567} -From {entitlement_server} -To {R567} -Delay {0.0} -TimeStamp {} -SupplyTimestamp {08:57:13:408}
10:57:13:409|0187-CustomStat: -CUSTOMSTATS_METADATA -Table {MQ Stats} -ParentTable {components} -PrimaryKeyFields {} -Fields {Component,STR,MQPubLocal,INT,MQSubLocal,INT,MQPut,INT,MQSup,INT,TimeStamp,STR,}
10:57:13:409|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {R567} -Component {R567} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:57:13:409}
10:57:13:409|0335-CustomStat: -CUSTOMSTATS_METADATA -Table {GC Stats} -ParentTable {components} -PrimaryKeyFields {} -Fields {Component,STR,YoungGenUse,INT,YoungGenMax,INT,OldGenUse,INT,OldGenMax,INT,PermGenUse,INT,PermGenMax,INT,MinCollCnt,INT,MajCollCnt,INT,MinCollDur,INT,MajCollDur,INT,MinCollStw,INT,MajCollStw,INT,HeapAllocKBps,INT,TimeStamp,STR,}
10:57:13:409|0359-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {R567} -Component {R567} -YoungGenUse {117856} -YoungGenMax {2762752} -OldGenUse {28903} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {4} -MajCollCnt {2} -MinCollDur {38} -MajCollDur {98} -MinCollStw {36} -MajCollStw {98} -HeapAllocKBps {7987} -TimeStamp {} -SupplyTimestamp {08:57:13:409}
10:57:13:698|0043-TickData: RTTDelay,DM_DOCKER,R567 {3=5,4=1}
10:58:13:409|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {R567} -Component {R567} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:58:13:409}
10:58:13:409|0353-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {R567} -Component {R567} -YoungGenUse {120438} -YoungGenMax {2762752} -OldGenUse {28903} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {0} -MajCollCnt {0} -MinCollDur {0} -MajCollDur {0} -MinCollStw {0} -MajCollStw {0} -HeapAllocKBps {43} -TimeStamp {} -SupplyTimestamp {08:58:13:409}
10:58:13:726|0039-TickData: RTTDelay,DM_DOCKER,R567 {2=2}
10:59:13:409|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {R567} -Component {R567} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:59:13:409}
10:59:13:409|0353-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {R567} -Component {R567} -YoungGenUse {123397} -YoungGenMax {2762752} -OldGenUse {28903} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {0} -MajCollCnt {0} -MinCollDur {0} -MajCollDur {0} -MinCollStw {0} -MajCollStw {0} -HeapAllocKBps {49} -TimeStamp {} -SupplyTimestamp {08:59:13:409}
10:59:13:751|0040-TickData: RTTDelay,DM_DOCKER,R567 {2=2,}
